organization,count,sample_urls,num_unique_urls,source_id
The Times of India,346,https://economictimes.indiatimes.com/news/international/us/quote-of-the-day-by-bob-hope-i-grew-up-with-six-brothers-thats-how-i-learned-to-dance-waiting-for-the-life-lessons-on-relationships-age-and-politics-by-popular-american-entertainer-and-comic-actor/articleshow/130538081.cms; https://economictimes.indiatimes.com/news/international/us/strait-of-hormuz-crisis-to-lead-gulf-region-into-recession-global-diplomacy-and-rising-tensions-shape-gulf-outlook/articleshow/130540078.cms; https://economictimes.indiatimes.com/news/economy/indicators/india-must-identify-key-chokepoints-mitigate-both-supply-price-risks-eac-pm-chairman-s-mahendra-dev/articleshow/130538428.cms; https://economictimes.indiatimes.com/news/india/pm-modi-set-to-visit-europe-in-may-likely-to-meet-pope/articleshow/130538269.cms; https://economictimes.indiatimes.com/opinion/et-commentary/numbing-down-of-america-what-the-attack-in-non-hellhole-us-points-to/articleshow/130537035.cms,346,the-times-of-india
Dailymail.com,194,https://www.dailymail.com/news/article-15766863/STEPHEN-DAISLEY-Devolution-remains-extraordinary-act-self-harm-power-it.html; https://www.dailymail.com/news/article-15767045/SNP-minister-denial-migrants-fuelling-housing-crisis.html; https://www.dailymail.com/news/article-15766989/Keir-Starmer-Donald-Trump-remain-miles-apart-Iran-telephone-call-fortnight.html; https://www.dailymail.com/news/article-15767095/meghan-hardest-seven-years-life-end-horoscope-Instagram.html; https://www.dailymail.com/news/article-15766997/cole-allen-white-house-correspondents-dinner-shooting-resurfaced-clip.html,194,
Yahoo Entertainment,192,https://finance.yahoo.com/markets/stocks/articles/ypf-sociedad-nima-ypf-good-194844638.html; https://finance.yahoo.com/markets/stocks/articles/experienced-investor-asks-better-investment-163201998.html; https://finance.yahoo.com/markets/stocks/articles/sofi-technologies-inc-sofi-good-220856316.html; https://finance.yahoo.com/markets/stocks/articles/seagate-technology-holdings-plc-stx-215443195.html; https://finance.yahoo.com/markets/stocks/articles/cellebrite-di-ltd-clbt-good-213312579.html,192,
GlobeNewswire,186,https://www.globenewswire.com/news-release/2026/04/26/3281219/0/en/C3-Davos-of-Healthcare-Silicon-Valley-Summit-Opens-Tomorrow-in-Sunnyvale-with-KFSH.html; https://www.globenewswire.com/news-release/2026/04/26/3281218/0/es/El-C3-Davos-of-Healthcare-Silicon-Valley-Summit-se-inaugura-ma%C3%B1ana-en-Sunnyvale-con-KFSH.html; https://www.globenewswire.com/news-release/2026/04/25/3281151/0/en/ImmunityBio-Inc-IBRX-Securities-Fraud-Class-Action-Lawsuit-Filed-May-26-2026-Lead-Plaintiff-Deadline.html; https://www.globenewswire.com/news-release/2026/04/25/3281130/0/en/IBRX-INVESTOR-ALERT-Robbins-Geller-Rudman-Dowd-LLP-Announces-that-ImmunityBio-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Securities-Class-Action-Lawsuit.html; https://www.globenewswire.com/news-release/2026/04/24/3280922/0/en/Medicana-Health-Group-Launches-HPV-Vaccination-and-Cervical-Cancer-Awareness-Campaign-Advancing-Prevention-Through-Regular-Check-Ups.html,186,
Freerepublic.com,149,https://freerepublic.com/focus/f-news/4376542/posts; https://freerepublic.com/focus/f-news/4376540/posts; https://freerepublic.com/focus/f-news/4376534/posts; https://freerepublic.com/focus/f-news/4376533/posts; https://freerepublic.com/focus/f-chat/4376532/posts,149,
Fox News,118,https://www.foxnews.com/opinion/david-marcus-bill-mahers-republican-hes-rare-democrat-thinks; https://www.foxnews.com/world/iran-turmoil-erupts-ultra-hardliner-who-mocked-trump-poised-take-over-nuclear-talks; https://www.foxnews.com/politics/whcd-shooting-suspect-planned-target-trump-officials-manifesto-reveals; https://www.foxnews.com/politics/security-scrutiny-whcd-attendees-cite-inconsistent-screening-shooting; https://www.foxnews.com/politics/suspected-white-house-correspondents-dinner-gunman-checked-hilton-hotel-one-day-before-shooting,118,fox-news
New York Post,112,https://nypost.com/2026/04/26/us-news/dems-ripped-for-anti-trump-rhetoric-after-third-assassination-attempt-during-whcd-shooting/; https://nypost.com/2026/04/26/us-news/witness-describes-the-moment-cole-allen-was-taken-down-after-white-house-correspondents-dinner-shooting/; https://nypost.com/2026/04/26/us-news/gavin-newsom-issues-awkward-statement-on-whcd-shooting-hours-after-trolling-event/; https://nypost.com/2026/04/26/opinion/california-sacrificing-economic-future-on-climate-change/; https://nypost.com/2026/04/26/opinion/tick-tock-tehran-irans-escape-routes-are-closing-fast/,112,
The Punch,100,https://punchng.com/?p=2127021; https://punchng.com/opposition-summit-pdp-defends-makinde-accuses-apc-of-twisting-violence-warning/; https://punchng.com/umahi-intervenes-in-ebonyi-apc-rift/; https://punchng.com/we-have-no-political-party-now-bauchi-gov-son-tells-loyalists/; https://punchng.com/businessman-jim-kamal-joins-lagos-apc-governorship-race/,100,
Crypto Briefing,100,https://cryptobriefing.com/former-israeli-premiers-form-new-party-to-challenge-netanyahu-in-2026-elections/; https://cryptobriefing.com/israel-escalates-gaza-operations-sidelining-us-backed-administration/; https://cryptobriefing.com/bennett-and-lapid-form-alliance-to-challenge-netanyahus-leadership/; https://cryptobriefing.com/iran-accuses-us-of-ceasefire-breach-amid-middle-east-tensions/; https://cryptobriefing.com/us-israeli-strikes-blockade-strain-irans-economy-amid-regime-change-speculation/,100,
BusinessLine,82,https://www.thehindubusinessline.com/opinion/below-the-line/article70909279.ece; https://www.thehindubusinessline.com/specials/current-account/we-channel-savings-to-build-infra-nabfid-chief-rajkiran-rai/article70909321.ece; https://www.thehindubusinessline.com/economy/investors-go-the-whole-nine-yards-in-saree-retail-weaving-growth-for-sector/article70909134.ece; https://www.thehindubusinessline.com/opinion/misadventures-of-superpowers/article70909173.ece; https://www.thehindubusinessline.com/books/stock-trading-demystified/article70908198.ece,82,
